business_name,category,city,address,phone,source
Do the beauty salons in Bangalore offer bridal makeup services?,beauty-parlour-services,Bangalore,Not Available,Not Available,Sulekha
What are the charges of wedding make up in Bangalore?,beauty-parlour-services,Bangalore,Not Available,Not Available,Sulekha
Do wedding makeup artist provide makeup services at the wedding/event venue?,beauty-parlour-services,Bangalore,Not Available,Not Available,Sulekha
What services are provided by the wedding makeup artist?,beauty-parlour-services,Bangalore,Not Available,Not Available,Sulekha
What type of bridal makeup do the beauty salons in Bangalore provide?,beauty-parlour-services,Bangalore,Not Available,Not Available,Sulekha
Can Sulekha help me in finding the professional Beauty Parlour Services in Bangalore?,beauty-parlour-services,Bangalore,Not Available,Not Available,Sulekha
RASODHA THE AUTHENTIC KITCHEN,restaurants,Hyderabad,Not Available,Not Available,Sulekha
Hotel Nakshatra Inn,restaurants,Hyderabad,Not Available,Not Available,Sulekha
Bahubelly,restaurants,Hyderabad,Not Available,Not Available,Sulekha
Utupura Kerala Restaurant,restaurants,Hyderabad,Not Available,Not Available,Sulekha
Hyderabad House,restaurants,Hyderabad,Not Available,Not Available,Sulekha
Km Romansiah,restaurants,Hyderabad,Not Available,Not Available,Sulekha
Snobby house cafe and restaurant,restaurants,Hyderabad,Not Available,Not Available,Sulekha
FOODIES,restaurants,Hyderabad,Not Available,Not Available,Sulekha
Plated multi cuisine restaurant and banquet halls,restaurants,Hyderabad,Not Available,Not Available,Sulekha
Joy Almond Bakery,restaurants,Hyderabad,Not Available,Not Available,Sulekha
"freelancer,home personal fitness training",gyms,Hyderabad,Not Available,Not Available,Sulekha
Satyas body massage service Females,gyms,Hyderabad,Not Available,Not Available,Sulekha
LORD'S GYM,gyms,Hyderabad,Not Available,Not Available,Sulekha
Imran Raheem,gyms,Hyderabad,Not Available,Not Available,Sulekha
Skies Fitness Studio,gyms,Hyderabad,Not Available,Not Available,Sulekha
Creed Gym,gyms,Hyderabad,Not Available,Not Available,Sulekha
Fitness One India Ltd.,gyms,Hyderabad,Not Available,Not Available,Sulekha
TheAxnis Hair & Beauty Salon with Gym,gyms,Hyderabad,Not Available,Not Available,Sulekha
Slim & Skinn,gyms,Hyderabad,Not Available,Not Available,Sulekha
Sam,gyms,Hyderabad,Not Available,Not Available,Sulekha
Mahima Makeup Studio & Training Centre,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
AV Dabbawala & Cateres,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Sirisha,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Priya Makeup Artist,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
RUHI_MAKEOVER,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Katala Maheshgoud,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
BeautySecret,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Beaut Services,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Vandhans Professional Makeup Artist,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Brown Belleza,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
What services can I expect from the ladies beauty parlour in Hyderabad?,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Do the beauty salons in Hyderabad offer bridal makeup services?,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
What are the charges of wedding make up in Hyderabad?,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Do wedding makeup artist provide makeup services at the wedding/event venue?,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
What services are provided by the wedding makeup artist?,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
What type of bridal makeup do the beauty salons in Hyderabad provide?,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Can Sulekha help me in finding the professional Beauty Parlour Services in Hyderabad?,beauty-parlour-services,Hyderabad,Not Available,Not Available,Sulekha
Adelkars Kitchen,restaurants,Mumbai,Not Available,Not Available,Sulekha
Awaywegoo,restaurants,Mumbai,Not Available,Not Available,Sulekha
Paprika Restaurant Multicuisine Hub,restaurants,Mumbai,Not Available,Not Available,Sulekha
Seven Eleven Club,restaurants,Mumbai,Not Available,Not Available,Sulekha
AMRUTRAJ CORPORATE GROUP Conglomerate,restaurants,Mumbai,Not Available,Not Available,Sulekha
Shrinath Ice Cream,restaurants,Mumbai,Not Available,Not Available,Sulekha
Chhotu Maharaj - Cine Restaurant,restaurants,Mumbai,Not Available,Not Available,Sulekha
Moti Mahal,restaurants,Mumbai,Not Available,Not Available,Sulekha
Noorani,restaurants,Mumbai,Not Available,Not Available,Sulekha
7 inch shawarma,restaurants,Mumbai,Not Available,Not Available,Sulekha
EVOLUTION OF MOVEMENT,gyms,Mumbai,Not Available,Not Available,Sulekha
Falcon Slim,gyms,Mumbai,Not Available,Not Available,Sulekha
United Strength Boutique Gym,gyms,Mumbai,Not Available,Not Available,Sulekha
Rohit Arun Dhivar,gyms,Mumbai,Not Available,Not Available,Sulekha
Gamma fitness centre,gyms,Mumbai,Not Available,Not Available,Sulekha
V4S Fitness,gyms,Mumbai,Not Available,Not Available,Sulekha
Skillwize IT Learning Center,gyms,Mumbai,Not Available,Not Available,Sulekha
Fit & Fine Slimming Clinic,gyms,Mumbai,Not Available,Not Available,Sulekha
Magnum Fitness,gyms,Mumbai,Not Available,Not Available,Sulekha
GURUKRUPA PLACEMENT & EDUCATION SOLUTIONS PVT LTD,gyms,Mumbai,Not Available,Not Available,Sulekha
Elara Family Salon,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Firdous mohd asif shaikh,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Sunaina makeup zone,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Colours Makeover Studio & Academy,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Samartha Events & Decors,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
ASHWINI'S BEAUTY HAIR AND NAIL SALOON,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Komal Mehndi Artist,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Beauty treatments,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Glamorous Salon and Makeup studio,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Radiance Ladies Salon Spa & Academy,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
What services can I expect from the ladies beauty parlour in Mumbai?,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Do the beauty salons in Mumbai offer bridal makeup services?,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
What are the charges of wedding make up in Mumbai?,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Do wedding makeup artist provide makeup services at the wedding/event venue?,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
What services are provided by the wedding makeup artist?,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
What type of bridal makeup do the beauty salons in Mumbai provide?,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Can Sulekha help me in finding the professional Beauty Parlour Services in Mumbai?,beauty-parlour-services,Mumbai,Not Available,Not Available,Sulekha
Success Electronics,restaurants,Pune,Not Available,Not Available,Sulekha
The Rasoi Pure Veg. Dining Room,restaurants,Pune,Not Available,Not Available,Sulekha
Dossai Flavours of South,restaurants,Pune,Not Available,Not Available,Sulekha
Pradip Ambhore,restaurants,Pune,Not Available,Not Available,Sulekha
Cup N Cone Ice Cream Shop,restaurants,Pune,Not Available,Not Available,Sulekha
Café Buddys Espresso Pvt Ltd,restaurants,Pune,Not Available,Not Available,Sulekha
Yenna Dosa,restaurants,Pune,Not Available,Not Available,Sulekha
Manali Veg Restaurant,restaurants,Pune,Not Available,Not Available,Sulekha
Delhi tadka,restaurants,Pune,Not Available,Not Available,Sulekha
Times Square AC Restaurant & Banquet Hall,restaurants,Pune,Not Available,Not Available,Sulekha
XMenia HiFi Fitness Club,gyms,Pune,Not Available,Not Available,Sulekha
Wellness Expert,gyms,Pune,Not Available,Not Available,Sulekha
Endurance Fitness Club,gyms,Pune,Not Available,Not Available,Sulekha
Tranceform Fitness Club,gyms,Pune,Not Available,Not Available,Sulekha
Cross training fitness point,gyms,Pune,Not Available,Not Available,Sulekha
A One Health Club,gyms,Pune,Not Available,Not Available,Sulekha
Add Fitness,gyms,Pune,Not Available,Not Available,Sulekha
Asole's Fitness Freak,gyms,Pune,Not Available,Not Available,Sulekha
New Image Fitness Club,gyms,Pune,Not Available,Not Available,Sulekha
Infinity Fitness & Wellness Studio,gyms,Pune,Not Available,Not Available,Sulekha
Home Saloon Service,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Anni S Beauty Salon,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Makrand Karpe,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Payal Dhone,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Colours Makeover Studio & Academy,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Samartha Events & Decors,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Sarishas Unisex Salon And Academy,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
ANEX Men's Parlour,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
The Blush n Glow studio,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Sanjana Yadav Makeup And Hair Style Academy,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
What services can I expect from the ladies beauty parlour in Pune?,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Do the beauty salons in Pune offer bridal makeup services?,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
What are the charges of wedding make up in Pune?,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Do wedding makeup artist provide makeup services at the wedding/event venue?,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
What services are provided by the wedding makeup artist?,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
What type of bridal makeup do the beauty salons in Pune provide?,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Can Sulekha help me in finding the professional Beauty Parlour Services in Pune?,beauty-parlour-services,Pune,Not Available,Not Available,Sulekha
Nascentvision Consultancy Services LLP,restaurants,Delhi,Not Available,Not Available,Sulekha
Sharma House Restaurant,restaurants,Delhi,Not Available,Not Available,Sulekha
The Punjabi Rasoi,restaurants,Delhi,Not Available,Not Available,Sulekha
Back In Gaon,restaurants,Delhi,Not Available,Not Available,Sulekha
Rajdhani Restaurant,restaurants,Delhi,Not Available,Not Available,Sulekha
SHOKAT ALI APNA JUICE CORNER,restaurants,Delhi,Not Available,Not Available,Sulekha
Vedant Foods,restaurants,Delhi,Not Available,Not Available,Sulekha
Dhaba,restaurants,Delhi,Not Available,Not Available,Sulekha
Temple Street Tilak Nagar,restaurants,Delhi,Not Available,Not Available,Sulekha
Halal Foods Bite,restaurants,Delhi,Not Available,Not Available,Sulekha
Coach Rishabh,gyms,Delhi,Not Available,Not Available,Sulekha
Trainer Fitness Studio,gyms,Delhi,Not Available,Not Available,Sulekha
Vidyapro Services,gyms,Delhi,Not Available,Not Available,Sulekha
Mega Gym & Spa,gyms,Delhi,Not Available,Not Available,Sulekha
P Academy Gym,gyms,Delhi,Not Available,Not Available,Sulekha
LHF CLINIC,gyms,Delhi,Not Available,Not Available,Sulekha
Arpit Malik,gyms,Delhi,Not Available,Not Available,Sulekha
3d Musclemania Gym,gyms,Delhi,Not Available,Not Available,Sulekha
My Tuition Teacher,gyms,Delhi,Not Available,Not Available,Sulekha
Cardio Prime Gym,gyms,Delhi,Not Available,Not Available,Sulekha
DIVAS MAKEOVER ACADEMY & STUDIO,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Madhu Beauty Home Service,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Vartika Garg,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Priya Arora,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Rajni Malhotra Makeovers,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Makeovers By Kaavi,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Puja Dem Make Up Artist,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Make Over Beauty Saloon,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
IWP Academy,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
PD's Beauty Salon,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
What services can I expect from the ladies beauty parlour in Delhi?,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Do the beauty salons in Delhi offer bridal makeup services?,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
What are the charges of wedding make up in Delhi?,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Do wedding makeup artist provide makeup services at the wedding/event venue?,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
What services are provided by the wedding makeup artist?,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
What type of bridal makeup do the beauty salons in Delhi provide?,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Can Sulekha help me in finding the professional Beauty Parlour Services in Delhi?,beauty-parlour-services,Delhi,Not Available,Not Available,Sulekha
Nagashrees Restaurant & Takeway,restaurants,Bangalore,Not Available,Not Available,Sulekha
Mahesh Food Court,restaurants,Bangalore,Not Available,Not Available,Sulekha
The North & South Restaurant,restaurants,Bangalore,Not Available,Not Available,Sulekha
Ramya Resorts Pvt. Ltd.,restaurants,Bangalore,Not Available,Not Available,Sulekha
Nandhana Restaurants,restaurants,Bangalore,Not Available,Not Available,Sulekha
Sanjha Chulha,restaurants,Bangalore,Not Available,Not Available,Sulekha
The Egg Express,restaurants,Bangalore,Not Available,Not Available,Sulekha
Barbeque Factory Restaurant,restaurants,Bangalore,Not Available,Not Available,Sulekha
Khushi's North Indian Home Made Food,restaurants,Bangalore,Not Available,Not Available,Sulekha
Manjanna biryani home,restaurants,Bangalore,Not Available,Not Available,Sulekha
Pushup Bengaluru,gyms,Bangalore,Not Available,Not Available,Sulekha
Mind & Body Wellness,gyms,Bangalore,Not Available,Not Available,Sulekha
Siddaraju Massage Therapist,gyms,Bangalore,Not Available,Not Available,Sulekha
Vrudhi fitness center,gyms,Bangalore,Not Available,Not Available,Sulekha
The Rock iTigers,gyms,Bangalore,Not Available,Not Available,Sulekha
Lamp Fitness,gyms,Bangalore,Not Available,Not Available,Sulekha
Hi Tech Gym,gyms,Bangalore,Not Available,Not Available,Sulekha
Therige Bhavana's,gyms,Bangalore,Not Available,Not Available,Sulekha
F45 Training,gyms,Bangalore,Not Available,Not Available,Sulekha
